iter	Passed	Remaining
470	755	848
471	756	846
472	758	844
473	759	842
474	760	840
475	762	838
476	763	836
477	764	834
478	765	832
479	766	830
480	768	828
481	769	826
482	770	824
483	771	822
484	773	820
485	774	819
486	776	817
487	777	815
488	779	814
489	780	812
490	781	810
491	783	808
492	784	807
493	786	805
494	787	803
495	789	801
496	790	800
497	791	798
498	793	796
499	794	794
500	795	792
501	797	790
502	798	789
503	800	787
504	801	785
505	803	784
506	804	782
507	805	780
508	807	778
509	808	777
510	810	775
511	811	773
512	813	772
513	814	770
514	816	768
515	817	766
516	819	765
517	820	763
518	821	761
519	823	759
520	824	758
521	825	756
522	827	754
523	828	752
524	830	751
525	831	749
526	833	747
527	834	746
528	836	744
529	837	742
530	838	741
531	840	739
532	841	737
533	842	735
534	844	733
535	845	732
536	847	730
537	848	728
538	849	726
539	851	724
540	852	723
541	853	721
542	855	719
543	856	718
544	858	716
545	859	714
546	860	712
547	862	711
548	863	709
549	864	707
550	865	705
551	866	703
552	868	701
553	869	699
554	870	698
555	871	696
556	873	694
557	874	692
558	875	690
559	877	689
560	878	687
561	879	685
562	880	683
563	882	681
564	883	680
565	884	678
566	885	676
567	886	674
568	888	672
569	889	671
570	890	669
571	891	667
572	893	665
573	894	663
574	895	662
575	897	660
576	898	658
577	899	656
578	900	655
579	902	653
580	903	651
581	904	649
582	906	648
583	907	646
584	908	644
585	910	642
586	911	641
587	912	639
588	913	637
589	915	635
590	916	634
591	917	632
592	919	630
593	920	629
594	921	627
595	922	625
596	924	623
597	925	622
598	926	620
599	927	618
600	929	616
601	930	615
602	931	613
603	933	611
604	934	610
605	935	608
606	937	606
607	938	604
608	939	603
609	940	601
610	942	599
611	943	597
612	944	596
613	945	594
614	946	592
615	948	591
616	949	589
617	950	587
618	952	586
619	953	584
620	954	582
621	956	581
622	957	579
623	958	577
624	959	575
625	960	574
626	962	572
627	963	570
628	964	568
629	965	567
630	966	565
631	968	563
632	969	561
633	970	560
634	971	558
635	973	556
636	974	555
637	975	553
638	977	552
639	978	550
640	979	548
641	981	547
642	982	545
643	983	543
644	984	542
645	986	540
646	987	538
647	988	537
648	989	535
649	991	533
650	992	532
651	994	530
652	996	529
653	997	527
654	999	526
655	1000	524
656	1001	522
657	1002	521
658	1004	519
659	1005	518
660	1006	516
661	1008	514
662	1009	513
663	1010	511
664	1011	509
665	1013	508
666	1014	506
667	1015	504
668	1016	502
669	1017	501
670	1019	499
671	1020	498
672	1021	496
673	1022	494
674	1024	493
675	1025	491
676	1026	489
677	1027	488
678	1029	486
679	1030	484
680	1031	483
681	1033	481
682	1034	480
683	1035	478
684	1036	476
685	1037	475
686	1039	473
687	1040	471
688	1041	470
689	1042	468
690	1044	466
691	1045	465
692	1046	463
693	1048	462
694	1049	460
695	1050	458
696	1051	457
697	1053	455
698	1054	453
699	1055	452
700	1056	450
701	1058	449
702	1059	447
703	1060	446
704	1062	444
705	1063	442
706	1064	441
707	1065	439
708	1067	437
709	1068	436
710	1069	434
711	1070	433
712	1072	431
713	1073	429
714	1074	428
715	1076	426
716	1077	425
717	1078	423
718	1080	422
719	1081	420
720	1082	419
721	1084	417
722	1085	415
723	1086	414
724	1088	412
725	1089	411
726	1090	409
727	1092	408
728	1093	406
729	1094	404
730	1096	403
731	1097	401
732	1098	400
733	1099	398
734	1101	397
735	1102	395
736	1103	393
737	1104	392
738	1106	390
739	1107	389
740	1109	387
741	1110	386
742	1111	384
743	1113	383
744	1114	381
745	1115	379
746	1117	378
747	1118	376
748	1119	375
749	1121	373
750	1122	372
751	1123	370
752	1125	369
753	1126	367
754	1127	365
755	1128	364
756	1130	362
757	1131	361
758	1132	359
759	1133	358
760	1135	356
761	1136	354
762	1137	353
763	1139	351
764	1140	350
765	1141	348
766	1143	347
767	1144	345
768	1145	344
769	1147	342
770	1148	341
771	1149	339
772	1151	338
773	1152	336
774	1153	335
775	1155	333
776	1156	331
777	1157	330
778	1159	328
779	1160	327
780	1161	325
781	1163	324
782	1164	322
783	1165	321
784	1166	319
785	1168	318
786	1169	316
787	1170	314
788	1171	313
789	1173	311
790	1174	310
791	1175	308
792	1176	307
793	1178	305
794	1179	304
795	1180	302
796	1182	301
797	1183	299
798	1184	298
799	1186	296
800	1187	295
801	1188	293
802	1190	291
803	1191	290
804	1192	288
805	1193	287
806	1195	285
807	1196	284
808	1197	282
809	1199	281
810	1201	279
811	1202	278
812	1203	276
813	1204	275
814	1206	273
815	1207	272
816	1208	270
817	1209	269
818	1211	267
819	1212	266
820	1213	264
821	1214	263
822	1216	261
823	1217	260
824	1218	258
825	1219	256
826	1221	255
827	1222	253
828	1223	252
829	1224	250
830	1226	249
831	1227	247
832	1228	246
833	1230	244
834	1231	243
835	1232	241
836	1233	240
837	1235	238
838	1236	237
839	1237	235
840	1239	234
841	1240	232
842	1241	231
843	1243	229
844	1244	228
845	1245	226
846	1247	225
847	1248	223
848	1249	222
849	1250	220
850	1252	219
851	1253	217
852	1254	216
853	1255	214
854	1257	213
855	1258	211
856	1259	210
857	1261	208
858	1262	207
859	1263	205
860	1264	204
861	1266	202
862	1267	201
863	1268	199
864	1269	198
865	1271	196
866	1272	195
867	1273	193
868	1274	192
869	1276	190
870	1277	189
871	1278	187
872	1280	186
873	1281	184
874	1282	183
875	1284	181
876	1285	180
877	1287	178
878	1288	177
879	1289	175
880	1290	174
881	1292	172
882	1293	171
883	1294	169
884	1295	168
885	1297	166
886	1298	165
887	1299	163
888	1300	162
889	1302	160
890	1303	159
891	1304	157
892	1305	156
893	1307	154
894	1308	153
895	1309	152
896	1310	150
897	1312	149
898	1313	147
899	1314	146
900	1315	144
901	1317	143
902	1318	141
903	1319	140
904	1321	138
905	1322	137
906	1323	135
907	1324	134
908	1326	132
909	1327	131
910	1328	129
911	1329	128
912	1331	126
913	1332	125
914	1333	123
915	1334	122
916	1336	120
917	1337	119
918	1338	117
919	1339	116
920	1340	115
921	1341	113
922	1343	112
923	1344	110
924	1346	109
925	1347	107
926	1348	106
927	1349	104
928	1351	103
929	1352	101
930	1354	100
931	1355	98
932	1357	97
933	1358	96
934	1359	94
935	1361	93
936	1362	91
937	1363	90
938	1365	88
939	1366	87
940	1367	85
941	1368	84
942	1370	82
943	1371	81
944	1372	79
945	1374	78
946	1375	76
947	1376	75
948	1377	74
949	1379	72
950	1380	71
951	1382	69
952	1383	68
953	1384	66
954	1385	65
955	1387	63
956	1388	62
957	1389	60
958	1390	59
959	1392	58
960	1393	56
961	1394	55
962	1395	53
963	1397	52
964	1398	50
965	1399	49
966	1401	47
967	1402	46
968	1403	44
969	1405	43
970	1406	42
971	1407	40
972	1408	39
973	1410	37
974	1411	36
975	1412	34
976	1414	33
977	1415	31
978	1416	30
979	1417	28
980	1419	27
981	1420	26
982	1422	24
983	1423	23
984	1424	21
985	1425	20
986	1427	18
987	1428	17
988	1429	15
989	1430	14
990	1432	13
991	1433	11
992	1434	10
993	1435	8
994	1437	7
995	1438	5
996	1439	4
997	1440	2
998	1442	1
999	1443	0
